autor_data	autor_nome	autor_endereco	autor_titulo	autor_comentario	autor_viagem
25-10-2022	VIVIENE	RIO DE JANEIRO, RJ	BOA PARA CAMINHADA	É  UMA BOA PRAIA PARA CAMINHADA, TEM ALUGUEL DE BIKE, PATINS E OUTRAS COISAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
16-10-2022	LIM L	BETIM, MG	VISITAR A NOITE	LUGAR DE IR A NOITE, A ORLA É MUITO BONITA E TEM DIVERSOS BARES E RESTAURANTES, ALÉM DE  SER UM LUGAR PROPÍCIO PARA CAMINHADAS. NESTA ORLA TAMBÉM TEM A FEIRINHA COM DIVERSOS PRODUTOS	PRAIA DE IRACEMA - FORTALEZA (CE)
28-09-2022	PEDRO L	SÃO LUÍS, MA	BONITO.	BOM PARA UMA CAMINHADA E PARA SE HOSPEDAR, BEM LOCALIZADO. VALE A PENA A VISITA COM A FAMÍLIA OU AMIGOS.	PRAIA DE IRACEMA - FORTALEZA (CE)
15-08-2022	ANA CAROLINA R	BELO HORIZONTE, MG	VISTA BONITA!	A VISTA DA PRAIA É BEM BONITA! MUITO GOSTOSO CORRER OU CAMINHAR PELA ORLA, VISUAL INCRÍVEL. NÃO ENTRAMOS NO MAR., MAS MESMO ASSIM A VISITA VALEU A PENA.	PRAIA DE IRACEMA - FORTALEZA (CE)
5-08-2022	RAFAELA B	FLORIANÓPOLIS	DECEPÇÃO	NÃO VÁ À PRAIA DE IRACEMA, A NÃO SER PARA CAMINHAR NA ORLA. COBRAM 30 REAIS PARA USAR O GUARDA SOL, FORA O CONSUMO E ISSO É ILEGAL.DIZEM QUE É A PREFEITURA QUE COBRA, MENTIRA.	PRAIA DE IRACEMA - FORTALEZA (CE)
28-07-2022	DIOGO G	JARAGUÁ DO SUL, SC	VALE A PENA CONHECER	FIZEMOS UM PASSEIO A NOITE EM FAMÍLIA E GOSTAMOS MUITO, APESAR DE APARENTEMENTE NÃO SER “TÃO BONITO” QUANTO À BEIRA MAR DA PRAIA DE MEIRELES, OS PREÇOS SÃO MAIS JUSTOS E OS AMBULANTES NÃO FICAM TANTO NO SEU PÉ. AMBIENTE POLICIADO O QUE NOS DEU MUITA SEGURANÇA PARA CAMINHAR UM BOM TEMPO COM AS CRIANÇAS	PRAIA DE IRACEMA - FORTALEZA (CE)
28-07-2022	LIVIA S	NOVA FRIBURGO, RJ	PRAIA HORRÍVEL	DECEPCIONADA COM ESSA PRAIA.SUJA, VIOLENTA, A ORLA E CHEIA DE AMBULANTES , NÃO GOSTEI NEM UM POUQUINHO.ALÉM DE TUDO BARULHENTO E OLHA QUE FIQUEI NO DÉCIMO ANDAR DE UM HOTEL À BEIRA MAR. NÃO PRETENDO VOLTAR NUNCA MAIS.	PRAIA DE IRACEMA - FORTALEZA (CE)
26-07-2022	FERNANDA BATIST... V	MINAS GERAIS	BOA	A PRAIA FICOU LINDA COM OS QUIOSQUES ORGANIZADOS, O PIER COM UM LINDO VISUAL.. A ÚNICA COISA QUE NÃO GOSTAMOS FOI A PARTE QUE ATERRARAM......UMA PRAIA LINDA DESSAS COM UMA PARTE SEM POSSIBILIDADE DE BANHO.... ISSO FOI RUIM, MAS O RESTANTE FOI PERFEITO	PRAIA DE IRACEMA - FORTALEZA (CE)
29-06-2022	EDILMA C	3 CONTRIBUIÇÕES	NÃO TOME BANHO NA PRAIA.	PRAIA LINDA ,COM UM CALÇADÃO MARAVILHOSO PARA ATIVIDADE FÍSICA, BARRACAS COM DIVERSOS TIPOS DE COMIDAS,MAS A PRAIA E IMPRÓPRIO PARA BANHO,POR CAUSA DO EMISSÁRIO DE JOGA O ESGOTO NO MAR.	PRAIA DE IRACEMA - FORTALEZA (CE)
27-06-2022	ARI RIUL PERISSE	JARDINÓPOLIS, SP	PRAIA LINDA	PRAIA LINDA, LIMPA, COM MUITA EXTENSÃO DE AREIA, MAS AZUL ESCURO, MAS MUITO BRAVA. NÃO ACHO BOA PARA BANHO. ÓTIMA PARA CAMINHAR, TIRAR FOTOS.	PRAIA DE IRACEMA - FORTALEZA (CE)
10-06-2022	MAURICIO	JOINVILLE, SC	CHARME DE FORTALEZA	UMA PRAIA CHEIA DE CHARME EM FORTALEZA, SOU FÃ DESSA REGIÃO, PARA MIM O MELHOR LOCAL DA CIDADE, LUGAR LINDO E COM MUITAS OPÇÕES GASTRONÔMICAS E HOTELEIRAS	PRAIA DE IRACEMA - FORTALEZA (CE)
6-06-2022	MARK T	7 CONTRIBUIÇÕES	MELHOR DA GRANDE FORTALEZA	FAIXA DE AREIA ENORME, LIMPA NAO TEM MUITOS AMBULANTES PERSISTENTES, OTIMA PARA BANHO DE MAR DE SOL, A PRAIA DO CRUSH QUE FICA NA IRACEMA É PERFEITO	PRAIA DE IRACEMA - FORTALEZA (CE)
10-05-2022	DAFNE L	10 CONTRIBUIÇÕES	FORTALEZA TRADICIONAL	DA PRA VER QUE A REGIÃO SOFREU O IMPACTO DA PANDEMIA, MAS VAI PASSAR. A ESTÁTUA DE IRACEMA CAIU E TEM MTOS AEDES AEGYPTI QUE PRECISA DE AÇÃO DO GOVERNO/PREFEITURA PELA QUESTÃO DA DENGUE.	PRAIA DE IRACEMA - FORTALEZA (CE)
4-05-2022	MARIA ALICE	6 CONTRIBUIÇÕES	PRAIA MARAVILHOSA	PRAIA LIMPA, COM TODA SEGURANÇA E QUANDO LA ESTIVEMOS TIVEMOS A OPORTUNIDADE DE PARTICIPAR DO PROJETO QUE AJUDAVAM PESSOAS QUE TINHAM DIFICULDADE PARA IR ATE A AGUA, OU QUE TINHAM MEDO, UM PROJETO MARAVILHOSO, PARABÉNS AOS ENVOLVIDOS, PESSOAS MARAVILHOSAS E  ATENCIOSAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
3-05-2022	MARILDA LEÃO	5 CONTRIBUIÇÕES	PRAIA DE IRACEMA	A PRAIA DE IRACEMA FICA MUITO BEM LOCALIZADA EM FORTALEZA E TEM MUITAS ATRAÇÕES PERTO COMO A FEIRINHA LOCAL, MONUMENTO DA ÍNDIA IRACEMA, MUITOS QUIOSQUES, RESTAURANTES E COMIDAS GOSTOSAS. O PESSOAL DA ÁREA SÃO EXTREMAMENTE CORTESES  E EDUCADOS.	PRAIA DE IRACEMA - FORTALEZA (CE)
29-04-2022	ROSESANTOSCORRETORA	CAXIAS DO SUL, RS	LINDA	LOCAL MARAVILHOSO, ADORAMOS HOTEL,  AGUA LIMPA. MUITOS BARZINHOS PARA FICAR, LOCAL PARA SABOREAR BOM PEIXE AO MEIO DIA. PEIXE FRESCO POR SER PERTO DO MERCADO DO PEIXE.	PRAIA DE IRACEMA - FORTALEZA (CE)
20-04-2022	ADAOL919	CURITIBA, PR	ABANDONARAM A IRACEMA	ABANDONARAM TOTALMENTE A IRACEMA, O QUE ERA O CARTÃO POSTAL DE FORTALEZA, A SUA MARAVILHOSA ESTÁTUA ENTRE AS PRAIAS DE IRACEMA E MEIRELES ESTÁ TOTALMENTE ABANDONADA, PICHADA, COM PEDRAS DE CALÇAMENTO FALTANDO E SOLTAS, DEMONSTRANDO UM TOTAL DESCASO PELO MAIOR SÍMBOLO DA PRAIA. LAMENTÁVEL	PRAIA DE IRACEMA - FORTALEZA (CE)
11-04-2022	ANDREA	DISTRITO FEDERAL	CARTÃO POSTAL DE FORTALEZA	LUGAR LINDO, COM ÓTIMOS HOTÉIS E UMA FEIRA DE ARTESANATO ENORME E COM ÓTIMOS PREÇOS PARA COMPRAR LEMBRANCINHAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
13-03-2022	SOLANGEPORTELA	NATAL, RN	AMPLO CALÇADÃO	APÓS O ATERRO DA PRAIA FOI CONSTRUÍDO UMA EXCELENTE ÁREA PARA PEDESTRE/TURISTA, ALÉM DA FAIXA DE PRAIA AMPLIADA.	PRAIA DE IRACEMA - FORTALEZA (CE)
6-03-2022	MEMADRON	GAMA, DF	SEM PRAIA SOMENTE PARA ESPORTES	TEVE UM  ESPERTO QUE ATERROU A PRAIA UNS 300 METROS E ACABOU A DIVERSÃO DA GALERA. TEM UM ÁREA ENORME ATERRADA E NO FINAL PEDRAS ENORMES DE QUEBRA MAR, VOCÊ CHEGA NO FINAL DO ATERRO E TEM UM PAREDÃO DE PEDRAS DE UNS 10 METROS E A ÁGUA BATENDO COM VONTADE. PARA QUEM CURTE SAIR DO HOTEL E DAR DE CARA COM UMA PRAIA, LEGAL, DESCAINDO AOS POUCOS, ESSE NÃO É O LOCAL. EM IRACEMA, MEIRELES E MAIS UM TRECHO É A MESMA COISA. EU COMENTEI COM GERAL QUE PARA QUEM GOSTA DE PRAIA MESMO COM O TEMPO VAI PARAR DE FREQUENTAR POIS, NESTE SENTIDO, NÃO TEM SERVENTIA.  SE FOR COM CRIANÇAS PIOR AINDA.	PRAIA DE IRACEMA - FORTALEZA (CE)
27-01-2022	ANTONIO JOSE A	SÃO PAULO, SP	IRACEMA - LINDA PRAIA COM MONUMENTO MAL CONSERVADO!	VOCÊ PODE ESCOLHER: DO LADO DIREITO DO MEIRELLES, ESTARÁ VOCÊ EM MUCURIPE (BAIRRO DE FORTALEZA) E DO LADO ESQUERDO DO MEIRELLES VOCÊ ESTARÁ NO BAIRRO DE IRACEMA. AMBOS APRESENTAM ESTATUAS DA VIRGEM DE LÁBIOS DE MEL, E TAMBÉM AMBAS ESTÃO MAL CUIDADAS! FAÇA POR BICICLETA OU À PÉ (DEPENDENDO DE ONDE VOCÊ ESTIVER) MAS NÃO DEIXE DE CIRCULAR PELO CALÇADÃO QUE LIGA AS 2 ESTÁTUAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
12-01-2022	ALEXSANDRA C	LAGOA SECA, PB	RUIN	ACHEI A PRAIA SUJA, CHEIA DE MENDIGOS, DROGADOS E BÊBADOS. NÃO ACONSELHO . É UM LUGAR QUE NÃO TENHO VONTADE DE VOLTAR. A PREFEITURA DEVERIA PENSAR EM UMA MANEIRA DE MELHORAR O AMBIENTE UMA VEZ QUE É UM DESTINO TÃO FAMOSO.	PRAIA DE IRACEMA - FORTALEZA (CE)
8-01-2022	PAIXÃO	100 CONTRIBUIÇÕES	MUITO BOA	MAR GOSTOSO, LINDO E LIMPO. POSSUI ALGUMAS ONDAS QUE PUXAM, MAS NÃO IMPEDEM O BANHO. POUCA ESTRUTURA, CONTANDO APENAS COM ALUGUEL CADEIRAS, GUARDA-SOIS E BEBIDAS. POUCOS AMBULANTES E POUCO FREQUENTADA EM DIAS ÚTEIS.	PRAIA DE IRACEMA - FORTALEZA (CE)
8-12-2021	SANDRA HELENA D... A	SÃO PAULO, SP	AGRADAVEL	MUITO ANIMADA .	PRAIA DE IRACEMA - FORTALEZA (CE)
2-12-2021	JOSE ANTONIO CALIMAN	VITÓRIA, ES	MAIS UMA PRAIA MARAVILHOSA	AS PRAIAS DE FORTALEZA SÃO BELAS MAIS PARA QUEM GOSTA DE PRAIAS URBANAS, SEM DUVIDA A DE IRACEMA É A MAIS INTERESANTE. HOTELARIA DE QUALIDADE POR PERTO COMO TAMBEM BONS RESTAURANTES	PRAIA DE IRACEMA - FORTALEZA (CE)
2-12-2021	TATIANA N	LONDRINA, PR	PRAIA LINDA	A PRAIA É  LINDÍSSIMA...A FEIRINHA QUE TEM A NOITE É  SENSACIONAL.  MTA COISA LINDA POR UM PREÇO MTO BOM.	PRAIA DE IRACEMA - FORTALEZA (CE)
19-11-2021	CELIO SILVER	SÃO PAULO, SP	PRAIA APENAS PARA VISITA RAPIDA	É BOA PARA PODER CURTIR NO PRIMEIRO OU ÚLTIMO DIA DE ESTADIA NA CIDADE, NOS DEMAIS MELHOR IR NAS OUTRAS PRAIAS PROXIMAS QUE POSSIBILITAM UM BANHO DE MAR.	PRAIA DE IRACEMA - FORTALEZA (CE)
8-11-2021	VIVIAN O	FERRAZ DE VASCONCELOS, SP	TREMENDO VOLTARIA 100×	CADA DETALHE, PRAIA MARAVILHOSA, , FOI O MELHOR PRESENTE QUE EU PODERIA ME DAR PORQUE FOI MEU ANIVERSÁRIO UMA EXPERIÊNCIA ENRIQUECEDORA, COM CERTEZA VOLTARIA MIL VEZES ,FORTALEZA É UM PARAÍSO...	PRAIA DE IRACEMA - FORTALEZA (CE)
7-11-2021	ITSANACARLA	RECIFE, PE	MARAVILHOSA	RECOMENDO MUITÍSSIMO. EU FUI TODAS AS NOITES  DA MINHA VIAGEM PASSEAR NA ORLA PORQUÊ É BEM MOVIMENTADO E SEGURANÇA REDOBRADA.	PRAIA DE IRACEMA - FORTALEZA (CE)
2-11-2021	MARCELO_ZERBES	TEUTÔNIA, RS	A MELHOR DAS TRÊS PRAIAS CENTRAIS	IRACEMA É A MELHOR DAS TRÊS PRAIAS CENTRAIS DE FORTALEZA (IRACEMA, MEIRELES E MUCURIPE). ELA TEM MAIS ESTRUTURA E ESTABELECIMENTOS PRÓXIMOS (SORVETERIA, PEDALINHOS, PIPOCA, CACHORRO QUENTE), ALÉM DE ALGUNS PONTOS TURÍSTICOS (COMO A ESTÁTUA DE IRACEMA, A PONTE DOS INGLESES E O CENTRO DE MÚSICA BELCHIOR). MUITO CUIDADO, POIS A PRAIA É IMPRÓPRIA PARA BANHO (PARTE DO ESGOTO DESEMBOCA NELA) E PERIGOSA, EM RAZÃO DO FORTE REPUXO, DAS ONDAS VIOLENTAS (ATÉ MESMO NA BEIRA) E DA ORLA EM FORMA INCLINADA DE VALA. ATÉ MESMO NA BEIRA DA PRAIA É POSSÍVEL SE AFOGAR. DE QUALQUER MODO, TRATA-SE DE UMA BELÍSSIMA PRAIA, COM ÁGUA LÍMPIDA, COSTURADA POR MAJESTOSOS EDIFÍCIOS.	PRAIA DE IRACEMA - FORTALEZA (CE)
23-10-2021	SIDNEY M	RIO DE JANEIRO, RJ	MUITO A MELHORAR	BOM PARA CAMINHAR, MAS PÉSSIMO PARA SE BANHAR. A ÁGUA  TEM CHEIRO E GOSTO DE ESGOTO.	PRAIA DE IRACEMA - FORTALEZA (CE)
18-10-2021	JC	BENTO GONÇALVES, RS	PRAIA LINDA, PORÉM...	PRAIA LINDÍSSIMA PARA FOTOS, MAS PARA BANHO TEM CHEIO DE ESGOTO, POR ISSO NÃO ENTREI NO MAR, SÓ APROVEITEI O HOTEL QUE FIQUEI.	PRAIA DE IRACEMA - FORTALEZA (CE)
14-10-2021	FABIANA SEREDA	7 CONTRIBUIÇÕES	PASSEIO A NOITE.	CALÇADÃO AMPLO, LARGO APÓS A REFORMA, LIMPO, ÓTIMA ILUMINAÇÃO E OFERECE DIVERSAS OPÇÕES DE RESTAURANTES E LOJAS. A FEIRINHA CONTINUA SENDO A SENSAÇÃO.	PRAIA DE IRACEMA - FORTALEZA (CE)
6-10-2021	RÔMULO GIÁCOME F	VILHENA, RO	BANHO NÃO, MAS SENTIR A ENERGIA DA ORLA!!	NÃO INDICO PARA BANHO, MAS PASSAR A TARDE E CIRCULAR POR ALI, DESCOBRINDO A ORLA E SEUS CANTINHOS, COMO OS VENDEDORES DE COCO E ACARAJÉ, O ARTESANATO, OS PASSEIOS DE BIKE E TODA A ENERGIA QUE VEM DAS PESSOAS E TURISTAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
4-10-2021	RODRIGOMONTE	SERRA NEGRA, SP	PRAIA MAIS FAMOSA DE FORTALEZA	PRAIA URBANA COM EXCELENTE INFRAESTRUTURA , BARES RESTAURANTES , CALÇADÃO , E OBRAS...RS	PRAIA DE IRACEMA - FORTALEZA (CE)
2-10-2021	JULIA	ARARAQUARA, BRASIL	DISPENSÁVEL	PRAIA SUJA, ORLA CHEIA DE FEZES DE ANIMAIS, LIXO, TUDO TEM CHEIRO RUIM. BARRACAS DE COMIDAS SEM A MENOR SALUBRIDADE. PEDINTES, GENTE DE TODO TIPO QUE FICAM A TODO MOMENTO OFERECENDO ALGO. SE A PRAIA FOSSE BONITA ATÉ COMPENSAVA, MAS NÃO HÁ NADA DE MAIS PRA VER É MELHOR FICAR NO HOTEL.	PRAIA DE IRACEMA - FORTALEZA (CE)
7-09-2021	HARISSON SOUZA	JUAZEIRO, BA	REQUER ATENÇÃO	VALE CONHECER EM HORÁRIOS MAIS MOVIMENTADOS, FORA DISSO É INSEGURA. TIVE A IMPRESSÃO DE QUE ELA ESTAVA EM OBRAS, MAS FALTA UM CERTO CAPRICHO NO MOBILIÁRIO URBANO.	PRAIA DE IRACEMA - FORTALEZA (CE)
7-09-2021	BRUNA ALMEIDA S SOUSA	ARAÇATUBA, SP	PÉSSIMA ESTRUTURA	PRIMEIRO VEZ QUE FUI E A PRAIA ESTAR HORRÍVEL COM AS REFORMAS PARA FERINHA . NÃO RECOMENDO PARA QUEM TEM CRIANÇAS. TEM UMA PARECE DE AREIA DE QUASE 1 METRO EM CERTOS PONTOS PARA VOCÊ CHEGAR NO MAR E NS PARTE MAS BAIXA, MUITA SUJEIRA E POLUIÇÃO SONORA.	PRAIA DE IRACEMA - FORTALEZA (CE)
3-09-2021	MARIANA M	24 CONTRIBUIÇÕES	HISTÓRIA & CONSERVAÇÃO	A LOCALIZAÇÃO JUNTO AO HOTEL E TODA AGITAÇÃO QUE A PRAIA PROPORCIONA. MUITO BOM! PORÉM A ESTÁTUA MARAVILHOSA DE IRACEMA QUE DÁ NOME À PRAIA ESTÁ À DERIVA. NECESSÁRIO QUE O MUNICÍPIO CONSERVE E CUIDE MELHOR DO PATRIMÔNIO. LIXO E PICHAÇÕES. LAMENTÁVEL	PRAIA DE IRACEMA - FORTALEZA (CE)
25-08-2021	RAMIROT108	TRÊS CACHOEIRAS, RS	PRAIA DE IRACEMA- FORTALEZA  CE	PRAIA DA ZONA CENTRAL , TRANQUILA , LIMPA, COM MUITOS BARES E RESTAURANTES NA AV. BEIRA MAR. MUITO SEGURA E LOCAL DE PASSEIO PELA MANHÃ OU A TARDINHA. VALE MUITO A PENA.	PRAIA DE IRACEMA - FORTALEZA (CE)
13-08-2021	LUIS FERNANDO P	RIO DE JANEIRO, RJ	ÁGUAS CALMAS.	A PRAIA POSSUI DOIS QUEBRA-MARES QUE TORNARAM O MAT MUITO CALMO. BOM PARA NADAR. NA ÁREA HÁ OFERTAS DE BARRACAS E GUARDASSÓIS, PRAGA QUE ATORMENTA TODAS AS PRAIAS FAMOSAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
7-08-2021	LIGIANGCASTRO	MARINGÁ, PR	POPULOSA	PRAIA COM MUITAS PESSOAS À NOITE POR CONTA DA FEIRINHA. POUCAS BARRACAS PARA SENTAR COM ACESSO AO MAR. O CALÇADÃO ESTÁ SENDO REVITALIZADO E A PRINCÍPIO O QUE JÁ FICOU PRONTO, FICOU BACANA.	PRAIA DE IRACEMA - FORTALEZA (CE)
4-06-2021	LUDI RISCADO	RIO DAS OSTRAS, RJ	BOA PARA UM PASSEIO A PÉ	PRAIA BONITA, MAS PARA BANHO É PÉSSIMA, SUJA. A ORLA DA PRAIA É ÓTIMA PARA CAMINHAR E CONHECER. MUITAS PESSOAS PRATICANDO ESPORTE.	PRAIA DE IRACEMA - FORTALEZA (CE)
16-08-2021	MARIANA	SÃO PAULO, SP	NÃO VOLTARIA, PRÓXIMO TEM PRAIAS MAIS BONITAS E MAIS SEGURAS.	SOMOS UM CASAL MUITO MENTE ABERTA MESMO ASSIM FICAMOS ASSUSTADOS COM A CRIMINALIDADE NA PRAIA E REGIÃO, FOMOS À PRAIA EM UM DOMINGO FORA DE TEMPORADA, DE DIA A PRAIA ESTAVA CHEIA MAS NADA QUE INCOMODASSE, O QUE INCOMODOU FOI UMAS PESSOAS BEM SUSPEITAS VISANDO AS PESSOAS NA PRAIA, VOLTAMOS AO HOTEL E POR VOLTA DE 19H RESOLVEMOS IR ATÉ A FEIRINHA, SAINDO DO HOTEL VIMOS UM ASSALTO A MÃO ARMADA.	PRAIA DE IRACEMA - FORTALEZA (CE)
24-06-2021	ELIEZER P	SÃO PAULO, SP	ÓTIMO LOCAL PARA HOSPEDAGEM	FICAMOS HOSPEDADOS NA PRAIA DE IRACEMA, BEM EM FRENTE AO CALÇADÃO E ADORAMOS A LOCALIZAÇÃO. APESAR DE NÃO SER PRÓPRIA PARA BANHO, A PRAIA É MUITO BONITA, CALÇADÃO LARGO E ARBORIZADO, COM ÓTIMA INFRA ESTRUTURA AO REDOR, COM RESTAURANTES, MERCADOS E ATRAÇÕES TURÍSTICAS, COMO OS ESPIGÕES. À NOITE, A PRAIA É BEM MOVIMENTADA E POLICIADA, ENTÃO NOS SENTIMOS BEM SEGUROS DE ANDAR MESMO DEPOIS DAS 21 HORAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
23-06-2021	ANDREY OLIVEIRA	GUARUJÁ, SP	PRAIA PRINCIPAL, NADA DEMAIS	É A PRAIA PRINCIPAL DE FORTALEZA, ENTÃO É ALI QUE VOCÊ VAI ENCONTRAR OS PRINCIPAIS PONTOS DA CIDADE COMO A ESTÁTUA DE IRACEMA, PONTE DOS INGLESES ETC. A ORLA SEMPRE TEM GENTE CAMINHANDO E PRATICANDO ALGUMA ATIVIDADE FÍSICA. ACHO QUE VALE MAIS A PENA CONHECER PRAIAS MAIS DISTANTES DE LÁ QUE SÃO MAIS BONITAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
6-05-2021	G. C.	PONTA PORÃ, MS	PRAIA BONITA CALMA E SEGURA.	A VISTA É BELÍSSIMA E A BASTANTE ESPAÇO PARA CAMINHAR. GOSTEI MUITO. RECOMENDO.	PRAIA DE IRACEMA - FORTALEZA (CE)
23-04-2021	SUELLENGALHEGO	SÃO PAULO, SP	BONITA	DIFÍCIL DE DIZER PORQUE ESTAVA FECHADA, MAS PARECE SER BEM BONITA E COM BASTANTE OPÇÕES DE COISAS PRA FAZER EM UMA SITUAÇÃO DE NÃO PANDEMIA.	PRAIA DE IRACEMA - FORTALEZA (CE)
6-02-2021	ROSSANA MENEZES	FORTALEZA, CE	LINDA DE VER!!!	LUGAR CHEIO DE VIDA, ENERGIA, MISTURA DO ANTIGO  COM O MODERNO EM PAISAGENS E VISUAL	PRAIA DE IRACEMA - FORTALEZA (CE)
3-02-2021	JUVIAGENS	SALVADOR, BA	MUITO TRISTE	MUITO TRISTE VER A SITUAÇÃO QUE ESTÁ A ORLA DE FORTALEZA. ACHEI TUDO BEM ABANDONADO, FEIO DE VER E NÃO ME SENTI SEGURA.	PRAIA DE IRACEMA - FORTALEZA (CE)
18-01-2021	RAQUEL TONASSI	RIO DE JANEIRO, RJ	LOCAL IDEAL PARA HOSPEDAGEM....	LOCAL COM SEGURANÇA POLICIAL, FEITO PARA TURISTAS, LA O COMERCIO DE TODOS OS TIPOS SÃO ENCONTRADOS...	PRAIA DE IRACEMA - FORTALEZA (CE)
